Player,Team,ATT,CMP,YDS,TD,INTS,ATT,YDS,TD,FL,FPTS
Stetson Bennett,LAR,63,39.2,336.4,1.2,1.7,8.2,17.1,0.1,0.5,17.6
C.J. Beathard,JAC,49.7,29,313.5,1.5,2.9,11.4,19.6,0.1,0.5,17.1
Cooper Rush,DAL,31.9,19.7,250.5,1.5,1.1,2.9,6.6,0.1,0.2,15.6
David Blough,ARI,87,52,307.6,1.2,2,7,12.8,0,0.5,15.6
Kyle Allen,BUF,61.1,37.9,409.1,1.2,5.2,10.3,25.6,0.2,2.3,15
Hendon Hooker,DET,59.8,36.2,270.5,0.7,1.7,9.4,19.6,0.1,0.5,13.7
Matt Corral,CAR,76.7,44.9,411.6,0,5.1,19.4,39.5,0.2,1.5,13.5
Aidan O'Connell,LV,61.7,36.5,281.4,0.5,2.1,10.8,16.9,0.1,0.6,12.5
Trevor Siemian,CIN,40.2,24.4,219,1.2,2.6,11.1,16.1,0.1,0.5,12.1
Malik Willis,TEN,79.6,45.5,308.2,0.5,3.3,16.1,21.9,0,0.6,12.1
Max Duggan,LAC,21,14,144,1,0,1,3,0,0,10.1
Jaren Hall,MIN,20,13,141,1,0,1,3,0,0,9.9
Tanner McKee,PHI,16,10,120,1,0,1,6,0,0,9.4
Case Keenum,HOU,146.2,74.2,286.7,0.3,1.5,15.9,1.2,0,1,9.1
Skylar Thompson,MIA,90.7,51.5,243.7,0.7,4,26.5,20.4,0,0.9,9.1
Jake Haener,NO,15,10,117,1,0,1,4,0,0,9.1
Matt Barkley,BUF,0,0,178.4,0.5,1.3,0,0,0.1,0.1,8.4
Dorian Thompson-Robinson,CLE,17,11,119,1,1,1,4,0,0,8.2
Mason Rudolph,PIT,51.2,34.9,122.3,0.5,1.2,17.7,14.2,0,0,7.3
Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0,1.6,4.2
Tommy DeVito,NYG,0,0,23.1,0.1,0.1,0,0.1,0,0,1.3
Danny Etling,GB,0,0,18.8,0.1,0.1,0,0,0,0,1.2
Feleipe Franks,ATL,0,0,0,0,0,4,11,0,0,1.1
Shane Buechele,KC,0,0,16.8,0.1,0.1,0,0.1,0,0,1
Will Grier,DAL,0,0,9.4,0,0.1,0,0,0,0,0.4
